Temp,Mo@liq,Si@liq,Ti@liq,Mo@bcc,Si@bcc,Ti@bcc
912,0.272313,0.0127183,0.714968,0.0316112,0.135745,0.832644
911,0.272734,0.0125928,0.714673,0.031521,0.135806,0.832673
910,0.273152,0.012469,0.714379,0.0314308,0.135867,0.832703
909,0.273566,0.0123469,0.714087,0.0313405,0.135927,0.832732
908,0.273978,0.0122265,0.713796,0.0312502,0.135988,0.832762
907,0.274386,0.0121077,0.713506,0.0311598,0.136049,0.832791
906,0.274791,0.0119905,0.713218,0.0310693,0.13611,0.83282
905,0.275194,0.0118749,0.712931,0.0309788,0.136171,0.83285
904,0.275593,0.0117607,0.712646,0.0308882,0.136233,0.832879
903,0.27599,0.0116481,0.712362,0.0307976,0.136294,0.832909
902,0.276384,0.0115369,0.712079,0.0307069,0.136355,0.832938
901,0.276776,0.0114271,0.711797,0.0306162,0.136416,0.832967
900,0.277166,0.0113185,0.711516,0.0305255,0.136478,0.832997
899,0.277553,0.0112114,0.711236,0.0304347,0.136539,0.833026
898,0.277937,0.0111057,0.710957,0.0303439,0.136601,0.833055
897,0.278319,0.0110012,0.71068,0.0302531,0.136662,0.833085
896,0.278699,0.0108979,0.710403,0.0301622,0.136724,0.833114
895,0.279076,0.0107959,0.710128,0.0300713,0.136786,0.833143
894,0.279452,0.0106952,0.709853,0.0299803,0.136847,0.833172
893,0.279825,0.0105955,0.70958,0.0298894,0.136909,0.833201
892,0.280196,0.0104971,0.709307,0.0297984,0.136971,0.833231
891,0.280565,0.0103998,0.709035,0.0297074,0.137033,0.83326
890,0.280932,0.0103036,0.708764,0.0296163,0.137095,0.833289
889,0.281297,0.0102085,0.708494,0.0295253,0.137157,0.833318
888,0.281661,0.0101145,0.708225,0.0294342,0.137219,0.833347
887,0.282022,0.0100215,0.707956,0.0293431,0.137281,0.833376
886,0.282382,0.00992956,0.707689,0.029252,0.137343,0.833405
885,0.28274,0.00983863,0.707422,0.0291609,0.137405,0.833434
884,0.283096,0.00974869,0.707156,0.0290698,0.137467,0.833463
883,0.28345,0.00965973,0.70689,0.0289787,0.13753,0.833492
882,0.283803,0.00957173,0.706625,0.0288875,0.137592,0.83352
881,0.284154,0.00948467,0.706361,0.0287964,0.137654,0.833549
880,0.284504,0.00939853,0.706098,0.0287053,0.137717,0.833578
879,0.284852,0.00931331,0.705835,0.0286141,0.137779,0.833607
878,0.285198,0.00922898,0.705573,0.028523,0.137842,0.833635
877,0.285544,0.00914553,0.705311,0.0284319,0.137904,0.833664
876,0.285887,0.00906294,0.70505,0.0283408,0.137967,0.833693
